question,reference_answer,llm_answer,retrieved_context,answer_similarity_score,retrieval_precision,augmentation_precision,augmentation_accuracy,answer_consistency,overall_score
What makes Sam Altman a good founder?,He has a great force of will.,"Sam Altman is considered a good founder because he has been successful in his own startup, Loopt, and is highly respected in the startup community. He is known for his determination and his ability to think in a startup-oriented way. Additionally, he has been influential in teaching others about the qualities and mindset required for success in the startup world.","[""Honestly, Sam is, along with Steve Jobs, the founder I refer to most when I'm advising startups."", ""But Sam Altman can't be stopped by such flimsy rules.If he wants to be on this list, he's going to be."", 'Sam Altman of Loopt is one of the most successful alumni,', 'He was the original young founder.', ""[3]The reason startup founders can safely be nice is that making great things is compounded, and rapacity isn't."", 'Thanks to Sam Altman, John Bautista,', 'Thanks to Sam Altman, Harj Taggar,', ""Why It's Safe for Founders to Be"", '(I wrote this for Forbes, who asked me to write something about the qualities we look for in founders.', ""So if you're a founder, here's a deal you can make with yourself that will both make you happy and make your company successful."", ""Sam AltmanI was told I shouldn't mention founders of YC-funded companies in this list."", ""I've probably learned more from him about the startup way of thinking than from anyone else."", 'DeterminationThis has turned out to be the most important quality in startup founders.', ""As I've written before, one of the things that has surprised me most about startups is how few of the most successful founders are like that."", 'What drives the most successful founders is the same thing that drives most people who make things: the company is their project.', 'But are these just outliers?How common is it for founders to keep control after an A round?', '""What I learned from meeting Sama is that the doctrine of the elect applies to startups.', 'Knowing that founders will keep control of the board may even help VCs pick better.', 'email from a founder that helped me understand something important:', ""and asked me how common it was for a startup's founders to retain control of the board after a series A round."", ""Steve JobsI'd guess Steve is the most influential founder not just for me but for most people you could ask.A lot of startup culture is Apple culture."", ""If I could tell startups only ten sentences, this would be one of them.Now he's cofounder of a startup called Friendfeed."", 'Steve is clever and driven, but so are a lot of people in the Valley.What makes him unique is his sense of design.', ""Notes[1] Many think successful startup founders are driven by money.In fact the secret weapon of the most successful founders is that they aren't."", 'The traditional series A board consisted of two founders, two VCs, and one independent member.', 'and Fred Wilson for reading drafts of this.Related: The United States of Entrepreneurs About Half of VC-Backed Company Founders are Immigrants.', 'Startups usually win by making something so great that people recommend it to their friends.', 'Five Founders\n\nApril 2009\n\nInc recently asked me who I thought were the 5 most interesting startup founders of the last 30 years.', 'but would represent a huge increase in the pool of startup founders.', 'Founders retaining control after a series A is clearly heard-of.And barring financial catastrophe, I think in the coming year it will become the norm.', ""And certainly you don't want founders to be stupid.But as long as you're over a certain threshold of intelligence, what matters most is determination."", ""But the founders I heard from aren't noobs or control freaks.""]",4.0,0.0625,0.5,0.03125,0.5,0.37875000000000003
"When was the essay ""Five Founders"" written?",April 2009,"The essay ""Five Founders"" was written in April 2009.","[""Learning from Founders\n\nJanuary 2007\n\n(Foreword to Jessica Livingston's Founders at Work."", 'Five Founders\n\nApril 2009\n\nInc recently asked me who I thought were the 5 most interesting startup founders of the last 30 years.', '(I wrote this for Forbes, who asked me to write something about the qualities we look for in founders.', 'He was the original young founder.', 'The first essay of his that I read was so electrifying that I remember exactly where I was at the time.', 'and Fred Wilson for reading drafts of this.Related: The United States of Entrepreneurs About Half of VC-Backed Company Founders are Immigrants.', ""Why It's Safe for Founders to Be"", 'email from a founder that helped me understand something important:', 'And the relationship between the founders has to be strong.They must genuinely like one another, and work well together.', ""[1]I knew this empirically, but I never saw the math of why till I got this founder's email."", 'The Founder Visa\n\nApril 2009\n\nI usually avoid politics,', 'Founders retaining control after a series A is clearly heard-of.And barring financial catastrophe, I think in the coming year it will become the norm.', 'The traditional series A board consisted of two founders, two VCs, and one independent member.', ""If they know they can't fire the founders, they'll have to choose founders they can trust.And that's who they should have been choosing all along."", 'What We Look for in Founders\n\nOctober 2010\n\nWant to start a startup?Get funded by Y Combinator.', 'In the past, founders rarely kept control of the board through a series A.', 'It was High Technology Innovation: Free Markets or Government Subsidies?and I was downstairs in the Harvard Square T Station.', ""We couldn't believe large numbers of people would want to stay in other people's places.We funded them because we liked the founders so much."", ""As I've written before, one of the things that has surprised me most about startups is how few of the most successful founders are like that."", ""I'm sure they argue, like all founders, but I have never once sensed any unresolved tension between them."", 'He also wrote the first prototype of AdSense, and was the author of Google\'s mantra ""Don\'t be evil.', ""How do you decide who's the most interesting?The best test seemed to be influence: who are the 5 who've influenced me most?"", 'More recently the recipe is often one founder, one VC, and one independent.In either case the founders lose their majority.But not always.', 'After two years, the un-rapacious founder is only 3.5 months behind the rapacious one.', ""But the founders I heard from aren't noobs or control freaks."", ""000 founders wouldn't be taking jobs from Americans: it could be part of the terms of the visa that they couldn't work for existing companies,"", ""and asked me how common it was for a startup's founders to retain control of the board after a series A round."", 'Thanks to Jessica Livingston and Chris Steiner for reading drafts of this.', ""only new ones they'd founded."", '[2] In fact since 2 ≈ 1.05 ^ 15, the un-rapacious founder is always 15 weeks behind the rapacious one.', 'and Fred Wilson for reading drafts of this.', ""Not so much from specific things he's written as by reconstructing the mind that produced them: brutally candid;""]",5.0,0.03125,1.0,0.03125,0.5,0.5125
When does the most dramatic growth happen for a startup?,When the startup only has three or four people.,The most dramatic growth for a startup happens when it only has three or four people.,"['The really dramatic growth happens when a startup only has three or four people,', ""It's that way with most startups too.The earliest phase is usually the most productive.That's when they have the really big ideas."", 'and when anything grows at the rate of a successful startup,', ""Obviously one case where it would help to be rapacious is when growth depends on that.What makes startups different is that usually it doesn't."", 'only a handful people got to see: what happens in the first year of a startup.This is what real productivity looks like.', 'The switch to the new norm may be surprisingly fast, because the startups that can retain control tend to be the best ones.', 'The world of startups is so unpredictable that you need to be able to modify your dreams on the fly.', 'Startup investors work hard to find the best startups.', 'People do in startups, at least some of the time.', ""As I've written before, one of the things that has surprised me most about startups is how few of the most successful founders are like that."", 'DeterminationThis has turned out to be the most important quality in startup founders.', 'Startups usually win by making something so great that people recommend it to their friends.', 'people producing thick reports for one another to read.Early stage startups are the exact opposite of this.', 'but would represent a huge increase in the pool of startup founders.', ')Ditto for most of the other differences between startups and what passes for productivity in big companies.', 'Startups do to the relationship between the founders what a dog does to a sock: if it can be pulled apart, it will be.', 'FriendshipEmpirically it seems to be hard to start a startup with just one founder.Most of the big successes have two or three.', ""Most successful startups make that tradeoff unconsciously.Maybe if you do it consciously you'll do it even better."", ""When you're starting a startup that depends on deals with big companies to exist, it often feels like they're trying to ignore you out of existence."", ""and asked me how common it was for a startup's founders to retain control of the board after a series A round."", 'The time may soon be coming when instead of startups trying to seem more corporate, corporations will try to seem more like startups.That would be a good thing.', 'But are these just outliers?How common is it for founders to keep control after an A round?', 'But while it is very common for startups to die from running through their initial funding and then being unable to raise more,', '[3] The other reason it might help to be good at squeezing money out of customers is that startups usually lose money at first,', 'But seeing what startups are really like will at least show other organizations what to aim for.', ""They're the ones that set the trends, both for other startups and for VCs."", ""but that you're able to grow 6% a week instead of 5% Now how are you doing compared to the rapacious founder after two years?"", ""Honestly, Sam is, along with Steve Jobs, the founder I refer to most when I'm advising startups."", 'in the initial stages at least,', ""and use investment by recognized startup investors as the test of whether a company was a real startup.How would the government decide who's a startup investor?"", 'thing the government could do to increase the number of startups', ""If we assume 4 people per startup, which is probably an overestimate, that's 2500 new companies.Each year.""]",5.0,0.125,0.5,0.0625,1.0,0.5375
What is the problem with business culture versus start up culture with respect to productivity?,"In business culture, energy is expended on outward appearance to the detriment of productivity, while in startup culture there is no value of appearance it's all about productivity.","The problem with business culture versus start-up culture with respect to productivity is that conventional ideas of professionalism, which are deeply ingrained in business culture, hinder productivity. In big companies, there is often a focus on looking productive rather than actually being productive. This leads to wasted effort and less productivity. Start-up culture, on the other hand, values real productivity and focuses on generating big ideas and taking action. Start-ups are not bound by the same conventional ideas of professionalism and are able to prioritize productivity over appearances.","[')Ditto for most of the other differences between startups and what passes for productivity in big companies.', 'only a handful people got to see: what happens in the first year of a startup.This is what real productivity looks like.', 'Business is broken the same way that car was.The effort that goes into looking productive is not merely wasted, but actually makes organizations less productive.', 'And yet conventional ideas of professionalism have such an iron grip on our minds that even startup founders are affected by them.', 'people producing thick reports for one another to read.Early stage startups are the exact opposite of this.', ""Most successful startups make that tradeoff unconsciously.Maybe if you do it consciously you'll do it even better."", 'The time may soon be coming when instead of startups trying to seem more corporate, corporations will try to seem more like startups.That would be a good thing.', ""Obviously one case where it would help to be rapacious is when growth depends on that.What makes startups different is that usually it doesn't."", ""It's that way with most startups too.The earliest phase is usually the most productive.That's when they have the really big ideas."", ""There's inevitably a difference in how things feel within the company."", ""And yet they're probably the most productive part of the whole economy.Why the disconnect?"", ""Maybe successful people in other industries are; I don't know; but not startup founders."", 'The tricky part might seem to be how one defined a startup.But that could be solved quite easily: let the market decide.', 'Startups do to the relationship between the founders what a dog does to a sock: if it can be pulled apart, it will be.', ""Of course, big companies won't be able to do everything these startups do."", 'The switch to the new norm may be surprisingly fast, because the startups that can retain control tend to be the best ones.', 'But seeing what startups are really like will at least show other organizations what to aim for.', 'People do in startups, at least some of the time.', 'In the startup world, most good ideas seem bad initially.If they were obviously good, someone would already be doing them.', ""Steve JobsI'd guess Steve is the most influential founder not just for me but for most people you could ask.A lot of startup culture is Apple culture."", 'FriendshipEmpirically it seems to be hard to start a startup with just one founder.Most of the big successes have two or three.', ""and use investment by recognized startup investors as the test of whether a company was a real startup.How would the government decide who's a startup investor?"", ""The striking thing about this phase is that it's completely different from most people's idea of what business is like."", ""As I've written before, one of the things that has surprised me most about startups is how few of the most successful founders are like that."", ""When you're starting a startup that depends on deals with big companies to exist, it often feels like they're trying to ignore you out of existence."", 'The biggest constraint on the number of new startups that get created in the US is not tax policy or employment law or even Sarbanes-Oxley.', 'But no visitor would understand that.Not even investors, who are supposed to be able to recognize real productivity when they see it.', 'DeterminationThis has turned out to be the most important quality in startup founders.', ""They're doing a finance startup, which means endless negotiations with big, bureaucratic companies."", 'but would represent a huge increase in the pool of startup founders.', ""Notes[1] Many think successful startup founders are driven by money.In fact the secret weapon of the most successful founders is that they aren't."", ""[3]The reason startup founders can safely be nice is that making great things is compounded, and rapacity isn't.""]",5.0,0.1875,0.1666666666666666,0.03125,1.0,0.4770833333333333
What's the single biggest thing the government could do to increase the number of startups in this country?,Establish a new class of visa for startup founders.,"The government could establish a new class of visa specifically for startup founders. This would allow more startup founders to enter the country each year, which could have a visible effect on the economy and lead to a significant increase in the number of new startups being created. Additionally, by using investment by recognized startup investors as a test of whether a company is a real startup, the government can ensure that genuine startups are being supported and encouraged.","['thing the government could do to increase the number of startups', ""and use investment by recognized startup investors as the test of whether a company was a real startup.How would the government decide who's a startup investor?"", 'Letting just 10,000 startup founders into the country each year could have a visible effect on the economy.', 'but would represent a huge increase in the pool of startup founders.', 'The biggest constraint on the number of new startups that get created in the US is not tax policy or employment law or even Sarbanes-Oxley.', 'establish a new class of visa for startup founders.', 'The tricky part might seem to be how one defined a startup.But that could be solved quite easily: let the market decide.', 'The time may soon be coming when instead of startups trying to seem more corporate, corporations will try to seem more like startups.That would be a good thing.', 'Startup investors work hard to find the best startups.', ""If we assume 4 people per startup, which is probably an overestimate, that's 2500 new companies.Each year."", 'But seeing what startups are really like will at least show other organizations what to aim for.', 'and when anything grows at the rate of a successful startup,', 'What We Look for in Founders\n\nOctober 2010\n\nWant to start a startup?Get funded by Y Combinator.', ""They're doing a finance startup, which means endless negotiations with big, bureaucratic companies."", 'Founder Control\n\nDecember 2010\n\nWant to start a startup?Get funded by Y Combinator.', 'Startups usually win by making something so great that people recommend it to their friends.', ""Obviously one case where it would help to be rapacious is when growth depends on that.What makes startups different is that usually it doesn't."", 'The government could not do better than to piggyback on their expertise,', ""In fact they'd cause there to be more jobs for Americans, because the companies they started would hire more employees as they grew."", 'FriendshipEmpirically it seems to be hard to start a startup with just one founder.Most of the big successes have two or three.', ""It's that way with most startups too.The earliest phase is usually the most productive.That's when they have the really big ideas."", ""and asked me how common it was for a startup's founders to retain control of the board after a series A round."", 'The world of startups is so unpredictable that you need to be able to modify your dreams on the fly.', 'so we asked him what question we could put on the Y Combinator application that would help us discover more people like him.', 'and Fred Wilson for reading drafts of this.Related: The United States of Entrepreneurs About Half of VC-Backed Company Founders are Immigrants.', ""As I've written before, one of the things that has surprised me most about startups is how few of the most successful founders are like that."", 'DeterminationThis has turned out to be the most important quality in startup founders.', ""So if you're a founder, here's a deal you can make with yourself that will both make you happy and make your company successful."", ""If I could tell startups only ten sentences, this would be one of them.Now he's cofounder of a startup called Friendfeed."", ""[3]The reason startup founders can safely be nice is that making great things is compounded, and rapacity isn't."", ""They're the ones that set the trends, both for other startups and for VCs."", 'People do in startups, at least some of the time.']",5.0,0.09375,0.6666666666666666,0.09375,1.0,0.5708333333333333
How could one create a rigorous government definition of what a startup is to categorize whether a business is a startup?,One could define a startup as a company that has received investment by recognized startup investors. An accreditation procedure would be determined to establish recognized startup investors.,"Creating a rigorous government definition of what a startup is to categorize whether a business is a startup could be achieved by allowing the market to determine the definition. This approach would involve looking at factors such as investment by recognized startup investors as a test of whether a company qualifies as a startup. By relying on the market to define what constitutes a startup, the government can ensure that the definition remains dynamic and adaptable to the changing nature of startups.","[""and use investment by recognized startup investors as the test of whether a company was a real startup.How would the government decide who's a startup investor?"", 'The tricky part might seem to be how one defined a startup.But that could be solved quite easily: let the market decide.', 'thing the government could do to increase the number of startups', 'establish a new class of visa for startup founders.', 'But seeing what startups are really like will at least show other organizations what to aim for.', ""Obviously one case where it would help to be rapacious is when growth depends on that.What makes startups different is that usually it doesn't."", 'DeterminationThis has turned out to be the most important quality in startup founders.', 'Startup investors work hard to find the best startups.', 'but would represent a huge increase in the pool of startup founders.', 'The time may soon be coming when instead of startups trying to seem more corporate, corporations will try to seem more like startups.That would be a good thing.', ""and asked me how common it was for a startup's founders to retain control of the board after a series A round."", 'Letting just 10,000 startup founders into the country each year could have a visible effect on the economy.', ""They're doing a finance startup, which means endless negotiations with big, bureaucratic companies."", 'And yet conventional ideas of professionalism have such an iron grip on our minds that even startup founders are affected by them.', 'The biggest constraint on the number of new startups that get created in the US is not tax policy or employment law or even Sarbanes-Oxley.', 'The switch to the new norm may be surprisingly fast, because the startups that can retain control tend to be the best ones.', 'Startups do to the relationship between the founders what a dog does to a sock: if it can be pulled apart, it will be.', 'In the startup world, most good ideas seem bad initially.If they were obviously good, someone would already be doing them.', 'The world of startups is so unpredictable that you need to be able to modify your dreams on the fly.', 'people producing thick reports for one another to read.Early stage startups are the exact opposite of this.', ""Of course, big companies won't be able to do everything these startups do."", 'and when anything grows at the rate of a successful startup,', ""[3]The reason startup founders can safely be nice is that making great things is compounded, and rapacity isn't."", ""If we assume 4 people per startup, which is probably an overestimate, that's 2500 new companies.Each year."", 'FriendshipEmpirically it seems to be hard to start a startup with just one founder.Most of the big successes have two or three.', 'only a handful people got to see: what happens in the first year of a startup.This is what real productivity looks like.', 'But are these just outliers?How common is it for founders to keep control after an A round?', ')Ditto for most of the other differences between startups and what passes for productivity in big companies.', 'People do in startups, at least some of the time.', ""As I've written before, one of the things that has surprised me most about startups is how few of the most successful founders are like that."", ""It's that way with most startups too.The earliest phase is usually the most productive.That's when they have the really big ideas."", 'What We Look for in Founders\n\nOctober 2010\n\nWant to start a startup?Get funded by Y Combinator.']",4.0,0.0625,1.0,0.0625,1.0,0.585
Why is frienship a good quality of founders?,Friendship is a good quality of founders because building a startup is tough and without a strong friendship building the startup will tear the founders apart.,"Friendship is a good quality of founders because the relationship between the founders needs to be strong. They must genuinely like one another and work well together. This is important because startups usually succeed by making something so great that people recommend it to their friends. Therefore, having a strong friendship between founders can contribute to a positive working environment and effective collaboration, ultimately increasing the chances of success for the startup.","['FriendshipEmpirically it seems to be hard to start a startup with just one founder.Most of the big successes have two or three.', 'And the relationship between the founders has to be strong.They must genuinely like one another, and work well together.', ""Why It's Safe for Founders to Be"", ""[3]The reason startup founders can safely be nice is that making great things is compounded, and rapacity isn't."", ""why it's safe for startup founders to be nice"", 'DeterminationThis has turned out to be the most important quality in startup founders.', 'Startups usually win by making something so great that people recommend it to their friends.', '(I wrote this for Forbes, who asked me to write something about the qualities we look for in founders.', 'Knowing that founders will keep control of the board may even help VCs pick better.', 'Startups do to the relationship between the founders what a dog does to a sock: if it can be pulled apart, it will be.', ""So if you're a founder, here's a deal you can make with yourself that will both make you happy and make your company successful."", ""We couldn't believe large numbers of people would want to stay in other people's places.We funded them because we liked the founders so much."", 'email from a founder that helped me understand something important:', 'What drives the most successful founders is the same thing that drives most people who make things: the company is their project.', 'but would represent a huge increase in the pool of startup founders.', ""If I could tell startups only ten sentences, this would be one of them.Now he's cofounder of a startup called Friendfeed."", ""If they know they can't fire the founders, they'll have to choose founders they can trust.And that's who they should have been choosing all along."", ""But the founders I heard from aren't noobs or control freaks."", ""And certainly you don't want founders to be stupid.But as long as you're over a certain threshold of intelligence, what matters most is determination."", ""As I've written before, one of the things that has surprised me most about startups is how few of the most successful founders are like that."", 'NaughtinessThough the most successful founders are usually good people, they tend to have a piratical gleam in their eye.', 'and Fred Wilson for reading drafts of this.Related: The United States of Entrepreneurs About Half of VC-Backed Company Founders are Immigrants.', 'Founders retaining control after a series A is clearly heard-of.And barring financial catastrophe, I think in the coming year it will become the norm.', 'Startup investors work hard to find the best startups.', 'Which means if it becomes the norm for founders to retain board control after a series A, that will change the way things feel in the whole startup world.', ""Notes[1] Many think successful startup founders are driven by money.In fact the secret weapon of the most successful founders is that they aren't."", 'In the past, founders rarely kept control of the board through a series A.', 'Five Founders\n\nApril 2009\n\nInc recently asked me who I thought were the 5 most interesting startup founders of the last 30 years.', 'But are these just outliers?How common is it for founders to keep control after an A round?', 'He was the original young founder.', ""In a dozen companies we've funded, the founders still had a majority of the board seats after the series A round."", 'More recently the recipe is often one founder, one VC, and one independent.In either case the founders lose their majority.But not always.']",5.0,0.125,0.5,0.0625,0.8,0.49749999999999994
Why is determination the most important quality in startup founders?,"Because when building a startup you're going to hit a lot of obstacles, and determination will prevent one from getting demoralized by the constant obstacles.","Determination is considered the most important quality in startup founders because it is what drives them to succeed. While intelligence is also important, as long as founders meet a certain threshold of intelligence, determination is what sets them apart. The most successful founders are driven by their passion for their company and their project, rather than solely by the desire for money. Determination allows founders to overcome the challenges and uncertainties that come with starting a startup, and it is what keeps them motivated to pursue their goals even when faced with setbacks.","['DeterminationThis has turned out to be the most important quality in startup founders.', ""And certainly you don't want founders to be stupid.But as long as you're over a certain threshold of intelligence, what matters most is determination."", 'What drives the most successful founders is the same thing that drives most people who make things: the company is their project.', 'Startup investors work hard to find the best startups.', ""Notes[1] Many think successful startup founders are driven by money.In fact the secret weapon of the most successful founders is that they aren't."", ""[3]The reason startup founders can safely be nice is that making great things is compounded, and rapacity isn't."", 'Startups do to the relationship between the founders what a dog does to a sock: if it can be pulled apart, it will be.', 'FriendshipEmpirically it seems to be hard to start a startup with just one founder.Most of the big successes have two or three.', ""As I've written before, one of the things that has surprised me most about startups is how few of the most successful founders are like that."", '(I wrote this for Forbes, who asked me to write something about the qualities we look for in founders.', ""It's that way with most startups too.The earliest phase is usually the most productive.That's when they have the really big ideas."", ""Why It's Safe for Founders to Be"", 'The world of startups is so unpredictable that you need to be able to modify your dreams on the fly.', ""We thought when we started Y Combinator that the most important quality would be intelligence.That's the myth in the Valley."", 'Knowing that founders will keep control of the board may even help VCs pick better.', 'but would represent a huge increase in the pool of startup founders.', 'The switch to the new norm may be surprisingly fast, because the startups that can retain control tend to be the best ones.', ""why it's safe for startup founders to be nice"", ""So if you're a founder, here's a deal you can make with yourself that will both make you happy and make your company successful."", 'What We Look for in Founders\n\nOctober 2010\n\nWant to start a startup?Get funded by Y Combinator.', 'Startups usually win by making something so great that people recommend it to their friends.', ""Most successful startups make that tradeoff unconsciously.Maybe if you do it consciously you'll do it even better."", ""They're the ones that set the trends, both for other startups and for VCs."", 'And yet conventional ideas of professionalism have such an iron grip on our minds that even startup founders are affected by them.', ""I've probably learned more from him about the startup way of thinking than from anyone else."", 'But are these just outliers?How common is it for founders to keep control after an A round?', 'But seeing what startups are really like will at least show other organizations what to aim for.', 'The tricky part might seem to be how one defined a startup.But that could be solved quite easily: let the market decide.', 'Which means if it becomes the norm for founders to retain board control after a series A, that will change the way things feel in the whole startup world.', ""and asked me how common it was for a startup's founders to retain control of the board after a series A round."", 'Founders retaining control after a series A is clearly heard-of.And barring financial catastrophe, I think in the coming year it will become the norm.', 'People do in startups, at least some of the time.']",4.0,0.15625,0.4,0.0625,0.8,0.44375
"For startups, what does board control mean in practice?","During board meetings, matters are decided in the discussion preceding the vote, not in the vote itself, which is usually unanimous. If opinion is divided in such discussions, the side that knows it would lose in a vote tends to be less insistent. This is what board control means in practice.","Board control for startups refers to the ability of the founders to retain control over the board of directors after a series A round of funding. This means that the founders have the majority of board seats and can make decisions that are in the best interest of the shareholders. While it does not give the founders total control, it allows them to have a significant influence on the direction and decision-making of the company.","[""That's what board control means in practice."", 'Which means if it becomes the norm for founders to retain board control after a series A, that will change the way things feel in the whole startup world.', ""and asked me how common it was for a startup's founders to retain control of the board after a series A round."", 'Knowing that founders will keep control of the board may even help VCs pick better.', 'A lot of VCs still act as if founders retaining board control after a series A is unheard-of.', ""then your opinion about what's in the interest of the shareholders will tend to prevail.So while board control is not total control, it's not imaginary either."", 'Control of a company is a more complicated matter than simply outvoting other parties in board meetings.', 'In the past, founders rarely kept control of the board through a series A.', 'But are these just outliers?How common is it for founders to keep control after an A round?', 'Founders retaining control after a series A is clearly heard-of.And barring financial catastrophe, I think in the coming year it will become the norm.', 'The switch to the new norm may be surprisingly fast, because the startups that can retain control tend to be the best ones.', ""A lot of them don't care that much personally about whether founders keep board control.They just don't want to seem like they had to make concessions."", 'The traditional series A board consisted of two founders, two VCs, and one independent member.', ""In a dozen companies we've funded, the founders still had a majority of the board seats after the series A round."", 'Founder Control\n\nDecember 2010\n\nWant to start a startup?Get funded by Y Combinator.', 'Which means if letting the founders keep control stops being perceived as a concession, it will rapidly become much more common.', 'People do in startups, at least some of the time.', 'Investors usually get vetos over certain big decisions, like selling the company, regardless of how many board seats they have.And board votes are rarely split.', ""and use investment by recognized startup investors as the test of whether a company was a real startup.How would the government decide who's a startup investor?"", 'But seeing what startups are really like will at least show other organizations what to aim for.', 'Startups do to the relationship between the founders what a dog does to a sock: if it can be pulled apart, it will be.', 'DeterminationThis has turned out to be the most important quality in startup founders.', ""Mark Zuckerberg kept control of Facebook's board through the series A and still has it today.Mark Pincus has kept control of Zynga's too."", 'And yet conventional ideas of professionalism have such an iron grip on our minds that even startup founders are affected by them.', 'people producing thick reports for one another to read.Early stage startups are the exact opposite of this.', 'but if you have a majority of board seats,', 'More recently the recipe is often one founder, one VC, and one independent.In either case the founders lose their majority.But not always.', ""When you're starting a startup that depends on deals with big companies to exist, it often feels like they're trying to ignore you out of existence."", ""They're doing a finance startup, which means endless negotiations with big, bureaucratic companies."", 'Startup investors work hard to find the best startups.', 'only a handful people got to see: what happens in the first year of a startup.This is what real productivity looks like.', 'The world of startups is so unpredictable that you need to be able to modify your dreams on the fly.']",3.0,0.3125,0.1,0.03125,1.0,0.40875000000000006
What's in the way of founders keeping board control after a series A?,"The perception that founders keeping board control after a series A being a concession a VC has made when negotiating with startups. VCs do not want to look like they've lost a negotiation. If founders keeping control after a series A is the norm, then it happening will not look like the VCs lost the negotiation.","The traditional structure of a series A board, consisting of two founders, two VCs, and one independent member, often results in founders losing their majority control. However, in some cases, founders are able to retain control of the board even after a series A round. The resistance to founders keeping board control may stem from VCs not wanting to appear as if they had to make concessions. However, if the perception of letting founders keep control changes, it is likely to become more common for founders to retain board control after a series A.","['A lot of VCs still act as if founders retaining board control after a series A is unheard-of.', ""and asked me how common it was for a startup's founders to retain control of the board after a series A round."", 'In the past, founders rarely kept control of the board through a series A.', 'Founders retaining control after a series A is clearly heard-of.And barring financial catastrophe, I think in the coming year it will become the norm.', 'Which means if it becomes the norm for founders to retain board control after a series A, that will change the way things feel in the whole startup world.', 'But are these just outliers?How common is it for founders to keep control after an A round?', ""In a dozen companies we've funded, the founders still had a majority of the board seats after the series A round."", 'Knowing that founders will keep control of the board may even help VCs pick better.', 'The traditional series A board consisted of two founders, two VCs, and one independent member.', ""A lot of them don't care that much personally about whether founders keep board control.They just don't want to seem like they had to make concessions."", ""Mark Zuckerberg kept control of Facebook's board through the series A and still has it today.Mark Pincus has kept control of Zynga's too."", 'More recently the recipe is often one founder, one VC, and one independent.In either case the founders lose their majority.But not always.', ""But the founders I heard from aren't noobs or control freaks."", 'Control of a company is a more complicated matter than simply outvoting other parties in board meetings.', 'Which means if letting the founders keep control stops being perceived as a concession, it will rapidly become much more common.', ""That's what board control means in practice."", ""Why It's Safe for Founders to Be"", ""If they know they can't fire the founders, they'll have to choose founders they can trust.And that's who they should have been choosing all along."", 'but would represent a huge increase in the pool of startup founders.', 'Startups do to the relationship between the founders what a dog does to a sock: if it can be pulled apart, it will be.', 'Investors usually get vetos over certain big decisions, like selling the company, regardless of how many board seats they have.And board votes are rarely split.', 'The switch to the new norm may be surprisingly fast, because the startups that can retain control tend to be the best ones.', 'Or if they are, they are, like Mark Zuckerberg, the kind of noobs and control freaks VCs should be trying to fund more of.', 'Founder Control\n\nDecember 2010\n\nWant to start a startup?Get funded by Y Combinator.', 'DeterminationThis has turned out to be the most important quality in startup founders.', ""They're the ones that set the trends, both for other startups and for VCs."", ""Notes[1] Many think successful startup founders are driven by money.In fact the secret weapon of the most successful founders is that they aren't."", ""As I've written before, one of the things that has surprised me most about startups is how few of the most successful founders are like that."", ""then your opinion about what's in the interest of the shareholders will tend to prevail.So while board control is not total control, it's not imaginary either."", 'What drives the most successful founders is the same thing that drives most people who make things: the company is their project.', ""And certainly you don't want founders to be stupid.But as long as you're over a certain threshold of intelligence, what matters most is determination."", ""Sam AltmanI was told I shouldn't mention founders of YC-funded companies in this list.""]",4.0,0.25,0.375,0.21875,1.0,0.5287499999999999
